gpt4omini,llama70b,llama8b,phi4,qwen7b,tulu3,scenario_power,scenario_expertise,scenario_stakes,scenario_emotional,scenario_formality,scenario_duration,user_initial_E,user_initial_A,user_initial_C,user_initial_N,user_initial_O,bot_initial_E,bot_initial_A,bot_initial_C,bot_initial_N,bot_initial_O,E_distance,A_distance,C_distance,N_distance,O_distance,conversation_sentiment,avg_user_reply,avg_bot_reply
1,0,0,0,0,0,-0.3,0.7,0.8,0.6,0.7,0.3,16,35,16,10,20,23,40,32,23,35,-7,-5,-16,-13,-15,1.0,259.2,275.1
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,6,29,13,6,24,25,39,33,22,33,-19,-10,-20,-16,-9,0.9,257.7,306.3
1,0,0,0,0,0,0.3,0.8,0.7,0.4,0.7,0.4,21,36,8,12,22,24,39,33,22,34,-3,-3,-25,-10,-12,1.0,259.4,292.3
1,0,0,0,0,0,0.7,0.8,0.8,0.7,0.6,0.7,24,0,12,28,12,23,39,32,23,35,1,-39,-20,5,-23,0.3,259.5,281.7
1,0,0,0,0,0,0.7,0.9,1.0,0.7,0.8,0.5,38,23,27,29,33,26,40,31,23,35,12,-17,-4,6,-2,1.0,273.2,293.7
1,0,0,0,0,0,0.3,0.6,0.8,0.7,0.7,0.6,20,32,10,6,30,24,39,31,23,33,-4,-7,-21,-17,-3,0.9,277.2,309.0
1,0,0,0,0,0,0.3,0.7,0.4,0.3,0.4,0.5,36,8,2,26,31,24,39,31,22,32,12,-31,-29,4,-1,0.9,257.5,251.9
1,0,0,0,0,0,-0.4,0.6,0.8,0.7,0.6,0.2,12,15,35,18,18,24,39,31,23,35,-12,-24,4,-5,-17,0.9,299.7,316.8
1,0,0,0,0,0,0.6,0.4,0.7,0.3,0.8,0.7,20,34,25,14,35,25,38,32,22,33,-5,-4,-7,-8,2,0.5,30.5,30.9
1,0,0,0,0,0,0.5,0.7,0.8,0.9,0.8,0.4,0,16,24,32,9,25,39,32,23,35,-25,-23,-8,9,-26,0.9,285.9,296.6
1,0,0,0,0,0,0.8,0.7,0.9,0.8,0.9,0.1,8,12,4,8,0,26,40,32,22,35,-18,-28,-28,-14,-35,-0.6,254.0,284.5
1,0,0,0,0,0,-0.2,0.4,0.9,0.8,0.8,0.1,24,0,4,28,12,24,39,33,22,33,0,-39,-29,6,-21,0.8,266.8,290.1
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,22,6,11,21,23,23,39,30,23,33,-1,-33,-19,-2,-10,0.9,260.1,285.0
1,0,0,0,0,0,0.4,0.7,0.6,0.4,0.5,0.7,6,15,25,32,13,24,39,31,23,33,-18,-24,-6,9,-20,0.9,278.5,289.7
1,0,0,0,0,0,-0.2,0.8,0.9,0.8,0.7,0.6,21,37,31,11,39,23,38,32,23,35,-2,-1,-1,-12,4,0.9,288.9,320.7
1,0,0,0,0,0,0.6,0.7,0.5,0.3,0.5,0.4,13,27,5,18,15,27,39,33,22,36,-14,-12,-28,-4,-21,0.9,254.8,295.5
1,0,0,0,0,0,-0.6,0.6,0.8,0.9,0.7,0.2,15,37,32,13,40,24,39,34,22,35,-9,-2,-2,-9,5,-0.7,288.7,308.7
1,0,0,0,0,0,0.8,0.7,0.6,0.5,0.7,0.8,13,18,35,20,20,25,39,32,23,35,-12,-21,3,-3,-15,1.0,273.0,281.4
1,0,0,0,0,0,0.0,0.1,0.4,0.6,0.2,0.2,13,25,19,17,22,26,39,31,22,35,-13,-14,-12,-5,-13,0.9,257.8,268.4
1,0,0,0,0,0,0.8,0.5,0.9,0.7,0.9,0.1,18,40,19,13,33,26,39,33,23,35,-8,1,-14,-10,-2,1.0,288.9,216.1
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,0,20,35,18,10,24,39,31,22,35,-24,-19,4,-4,-25,0.9,280.7,313.1
1,0,0,0,0,0,0.6,0.7,0.5,0.3,0.5,0.4,36,22,0,0,32,24,38,31,23,35,12,-16,-31,-23,-3,0.9,276.9,294.5
1,0,0,0,0,0,0.3,0.5,0.3,0.6,0.2,0.3,0,4,0,24,2,25,39,32,24,37,-25,-35,-32,0,-35,0.2,242.1,279.4
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.4,0.3,20,0,4,28,12,26,39,32,22,34,-6,-39,-28,6,-22,-0.7,228.1,260.0
1,0,0,0,0,0,0.0,0.5,0.9,0.6,0.9,0.5,4,16,13,20,10,23,39,32,22,34,-19,-23,-19,-2,-24,0.5,279.7,311.9
1,0,0,0,0,0,0.8,0.9,1.0,0.8,0.9,0.4,40,40,37,36,40,24,38,33,22,34,16,2,4,14,6,1.0,248.3,281.2
1,0,0,0,0,0,-0.2,0.7,0.7,0.4,0.6,0.3,36,15,1,10,28,25,39,31,22,35,11,-24,-30,-12,-7,1.0,226.3,277.7
1,0,0,0,0,0,0.4,0.7,0.6,0.4,0.5,0.7,20,15,16,32,20,25,37,32,22,35,-5,-22,-16,10,-15,0.9,294.9,317.3
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.5,0.3,18,31,40,22,28,24,39,30,22,35,-6,-8,10,0,-7,1.0,236.2,277.1
1,0,0,0,0,0,0.0,0.5,0.9,0.6,0.9,0.5,36,17,12,32,31,25,39,33,23,35,11,-22,-21,9,-4,1.0,272.6,297.2
1,0,0,0,0,0,-0.4,0.7,0.4,0.5,0.6,0.1,9,16,28,32,10,24,39,32,22,35,-15,-23,-4,10,-25,-0.3,251.0,268.7
1,0,0,0,0,0,0.5,0.8,0.5,0.2,0.6,0.3,19,16,36,16,22,26,39,32,22,35,-7,-23,4,-6,-13,0.8,279.6,291.2
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.5,0.3,4,8,36,32,8,23,39,32,23,34,-19,-31,4,9,-26,0.2,259.3,301.2
1,0,0,0,0,0,0.2,0.5,0.5,0.4,0.5,0.1,15,32,40,22,29,27,39,31,23,35,-12,-7,9,-1,-6,0.9,297.8,185.3
1,0,0,0,0,0,0.4,0.8,0.5,0.5,0.6,0.2,35,10,3,26,31,22,39,32,22,33,13,-29,-29,4,-2,0.8,236.5,275.7
1,0,0,0,0,0,-0.4,0.7,0.4,0.5,0.6,0.1,0,16,16,24,4,26,39,32,22,35,-26,-23,-16,2,-31,0.2,221.2,230.9
1,0,0,0,0,0,0.8,0.7,0.6,0.5,0.7,0.8,24,8,24,28,32,23,39,32,22,35,1,-31,-8,6,-3,0.8,249.7,314.6
1,0,0,0,0,0,-0.2,0.4,0.9,0.8,0.8,0.1,21,28,26,28,26,24,39,32,22,35,-3,-11,-6,6,-9,0.5,281.6,302.4
1,0,0,0,0,0,0.0,0.5,0.9,0.6,0.9,0.5,20,17,40,18,34,24,38,31,23,35,-4,-21,9,-5,-1,0.9,291.7,307.9
1,0,0,0,0,0,0.3,0.8,0.4,0.2,0.5,0.2,20,16,28,32,16,25,38,32,23,35,-5,-22,-4,9,-19,-0.6,321.8,330.2
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,18,13,12,26,10,24,39,32,22,35,-6,-26,-20,4,-25,0.2,269.4,326.7
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,19,31,40,22,29,24,38,32,22,33,-5,-7,8,0,-4,0.9,274.9,307.2
1,0,0,0,0,0,0.5,0.8,0.7,0.6,0.7,0.4,10,34,19,6,19,23,39,33,22,33,-13,-5,-14,-16,-14,0.9,250.3,298.0
1,0,0,0,0,0,0.0,0.2,0.2,0.8,0.1,0.1,29,27,7,4,22,25,39,32,23,35,4,-12,-25,-19,-13,-0.6,276.7,317.5
1,0,0,0,0,0,0.3,0.7,0.4,0.3,0.4,0.5,39,37,25,19,36,23,38,33,22,33,16,-1,-8,-3,3,1.0,266.4,249.2
1,0,0,0,0,0,0.0,0.5,0.9,0.6,0.9,0.5,20,12,15,28,12,24,39,32,23,35,-4,-27,-17,5,-23,0.5,265.7,293.1
1,0,0,0,0,0,0.4,0.8,0.7,0.5,0.6,0.6,4,11,4,8,4,24,39,32,23,33,-20,-28,-28,-15,-29,-0.8,255.2,289.4
1,0,0,0,0,0,0.4,0.8,0.5,0.5,0.6,0.2,20,15,40,21,19,25,39,33,22,34,-5,-24,7,-1,-15,0.9,262.3,260.9
1,0,0,0,0,0,0.3,0.8,0.7,0.4,0.7,0.4,19,40,15,29,29,23,39,33,22,35,-4,1,-18,7,-6,1.0,259.3,297.9
1,0,0,0,0,0,0.4,0.7,0.6,0.5,0.5,0.8,36,21,0,0,30,24,38,29,23,35,12,-17,-29,-23,-5,0.9,270.8,323.5
1,0,0,0,0,0,0.7,0.8,0.8,0.7,0.6,0.7,20,16,20,32,15,26,39,31,24,35,-6,-23,-11,8,-20,0.5,232.6,286.9
1,0,0,0,0,0,-0.6,0.6,0.8,0.9,0.7,0.2,1,24,23,15,12,24,39,31,23,35,-23,-15,-8,-8,-23,-0.5,267.9,296.7
1,0,0,0,0,0,0.5,0.7,0.8,0.9,0.8,0.4,4,0,4,8,0,24,39,32,22,35,-20,-39,-28,-14,-35,-0.8,272.5,292.5
1,0,0,0,0,0,0.5,0.4,0.8,0.8,0.7,0.7,39,22,24,31,31,24,39,32,22,35,15,-17,-8,9,-4,1.0,273.0,268.8
1,0,0,0,0,0,0.4,0.7,0.6,0.5,0.5,0.8,29,10,2,20,29,26,39,31,22,33,3,-29,-29,-2,-4,1.0,286.3,322.5
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.5,0.3,35,15,2,13,26,26,39,32,23,35,9,-24,-30,-10,-9,1.0,235.2,264.6
1,0,0,0,0,0,0.8,0.7,0.9,0.8,0.9,0.1,20,8,24,32,16,23,38,32,23,35,-3,-30,-8,9,-19,0.9,309.3,256.2
1,0,0,0,0,0,0.4,0.8,0.7,0.5,0.6,0.6,24,0,4,28,8,27,39,32,23,35,-3,-39,-28,5,-27,0.8,241.1,252.0
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,4,4,4,8,2,25,38,32,23,35,-21,-34,-28,-15,-33,-0.7,266.7,324.5
1,0,0,0,0,0,-0.6,0.6,0.8,0.9,0.7,0.2,16,18,40,36,24,25,38,34,23,34,-9,-20,6,13,-10,0.3,281.2,294.7
1,0,0,0,0,0,0.7,0.9,1.0,0.7,0.8,0.5,20,9,0,21,12,25,38,34,22,35,-5,-29,-34,-1,-23,0.8,252.0,302.7
1,0,0,0,0,0,0.4,0.9,0.9,0.6,0.8,0.7,0,4,0,24,0,26,39,32,23,36,-26,-35,-32,1,-36,-0.4,265.7,318.5
1,0,0,0,0,0,-0.2,0.8,0.8,0.6,0.6,0.5,39,36,22,18,35,27,39,30,22,35,12,-3,-8,-4,0,1.0,307.3,305.0
1,0,0,0,0,0,0.5,0.4,0.7,0.6,0.6,0.7,36,12,12,32,28,23,39,32,23,35,13,-27,-20,9,-7,0.9,253.8,273.9
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.4,0.3,2,4,24,34,14,26,39,31,23,35,-24,-35,-7,11,-21,-0.4,175.3,210.3
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.5,0.3,32,26,0,0,28,25,40,33,22,36,7,-14,-33,-22,-8,-0.7,263.8,280.9
1,0,0,0,0,0,-0.2,0.8,0.9,0.8,0.7,0.6,16,23,40,36,24,24,38,31,22,35,-8,-15,9,14,-11,1.0,276.3,300.5
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,34,27,14,25,35,25,39,31,22,34,9,-12,-17,3,1,1.0,270.0,294.2
1,0,0,0,0,0,0.6,0.8,0.8,0.5,0.7,0.7,24,0,4,32,8,26,38,31,23,35,-2,-38,-27,9,-27,0.1,248.8,278.5
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,20,12,20,32,8,27,38,34,22,35,-7,-26,-14,10,-27,0.2,269.4,305.5
1,0,0,0,0,0,0.5,0.8,0.5,0.2,0.6,0.3,12,26,5,19,14,25,38,32,22,33,-13,-12,-27,-3,-19,0.9,255.3,261.5
1,0,0,0,0,0,0.3,0.8,0.4,0.2,0.5,0.2,32,39,30,20,26,23,40,32,22,35,9,-1,-2,-2,-9,1.0,260.0,210.9
1,0,0,0,0,0,0.4,0.7,0.4,0.3,0.5,0.4,16,24,19,19,21,23,39,31,23,34,-7,-15,-12,-4,-13,0.7,244.7,285.1
1,0,0,0,0,0,-0.2,0.8,0.9,0.8,0.7,0.6,10,39,14,17,19,25,38,32,24,35,-15,1,-18,-7,-16,0.9,254.6,287.8
1,0,0,0,0,0,-0.6,0.6,0.8,0.9,0.7,0.2,16,16,37,17,20,24,39,32,23,35,-8,-23,5,-6,-15,-0.7,278.8,301.1
1,0,0,0,0,0,0.6,0.8,0.8,0.5,0.7,0.7,16,25,19,17,20,26,39,31,23,35,-10,-14,-12,-6,-15,0.5,248.8,295.8
1,0,0,0,0,0,0.3,0.5,0.3,0.6,0.2,0.3,24,28,4,13,22,23,39,32,25,35,1,-11,-28,-12,-13,0.9,254.9,257.2
1,0,0,0,0,0,0.8,0.7,0.6,0.5,0.7,0.8,20,15,16,20,21,24,39,32,23,35,-4,-24,-16,-3,-14,0.6,209.8,264.7
1,0,0,0,0,0,-0.5,0.5,0.6,0.7,0.7,0.1,13,27,20,16,22,23,39,31,22,36,-10,-12,-11,-6,-14,0.2,238.8,224.1
1,0,0,0,0,0,0.3,0.8,0.9,0.9,0.6,0.8,0,21,19,17,15,26,39,32,23,36,-26,-18,-13,-6,-21,-0.6,259.7,292.0
1,0,0,0,0,0,0.6,0.4,0.7,0.3,0.8,0.7,20,8,0,22,16,25,39,32,22,35,-5,-31,-32,0,-19,-0.4,23.2,36.1
1,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.4,18,12,1,22,17,23,39,31,22,35,-5,-27,-30,0,-18,0.8,277.5,275.8
1,0,0,0,0,0,0.0,0.1,0.4,0.6,0.2,0.2,36,12,1,10,26,25,39,34,22,34,11,-27,-33,-12,-8,1.0,225.2,219.2
1,0,0,0,0,0,0.5,0.8,0.7,0.6,0.7,0.4,36,4,5,26,28,27,38,31,22,35,9,-34,-26,4,-7,1.0,265.8,299.3
1,0,0,0,0,0,-0.3,0.7,0.8,0.6,0.7,0.3,16,31,40,22,29,24,40,33,23,35,-8,-9,7,-1,-6,0.9,237.1,266.8
1,0,0,0,0,0,0.5,0.4,0.8,0.8,0.7,0.7,36,12,1,7,26,24,39,32,22,34,12,-27,-31,-15,-8,0.8,231.3,254.8
1,0,0,0,0,0,0.5,0.8,0.7,0.6,0.7,0.4,12,38,20,11,20,26,38,32,22,35,-14,0,-12,-11,-15,0.9,262.0,302.0
1,0,0,0,0,0,0.4,0.8,0.5,0.5,0.6,0.2,20,12,12,16,12,25,38,32,23,35,-5,-26,-20,-7,-23,0.3,283.8,315.4
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,20,35,12,11,24,23,38,32,23,34,-3,-3,-20,-12,-10,1.0,243.1,302.7
1,0,0,0,0,0,0.3,0.8,0.4,0.2,0.5,0.2,18,16,36,20,26,23,38,32,23,34,-5,-22,4,-3,-8,0.2,268.6,299.6
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.5,0.3,31,14,7,23,26,26,38,30,22,36,5,-24,-23,1,-10,1.0,245.1,274.7
1,0,0,0,0,0,-0.2,0.4,0.9,0.8,0.8,0.1,21,16,40,20,19,24,38,32,22,34,-3,-22,8,-2,-15,0.9,288.7,279.8
1,0,0,0,0,0,0.0,0.3,0.3,0.8,0.2,0.1,20,28,31,30,28,24,39,34,22,35,-4,-11,-3,8,-7,0.1,307.9,321.5
1,0,0,0,0,0,0.8,0.5,0.9,0.7,0.9,0.1,20,28,25,28,26,22,39,33,22,33,-2,-11,-8,6,-7,0.5,277.2,205.6
1,0,0,0,0,0,0.3,0.7,0.4,0.3,0.4,0.5,1,15,4,8,5,25,39,33,22,36,-24,-24,-29,-14,-31,0.9,255.7,282.7
1,0,0,0,0,0,-0.2,0.4,0.9,0.8,0.8,0.1,0,4,4,26,0,23,39,31,22,35,-23,-35,-27,4,-35,0.4,251.0,270.4
1,0,0,0,0,0,0.3,0.8,0.7,0.4,0.7,0.4,15,35,26,11,32,23,38,31,23,35,-8,-3,-5,-12,-3,0.3,273.0,328.3
1,0,0,0,0,0,0.6,0.4,0.7,0.3,0.8,0.7,16,40,22,20,27,24,38,32,23,35,-8,2,-10,-3,-8,1.0,35.1,30.7
1,0,0,0,0,0,-0.2,0.4,0.9,0.8,0.8,0.1,24,8,24,28,32,26,39,33,22,35,-2,-31,-9,6,-3,0.9,280.4,290.2
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,31,8,8,25,29,23,39,31,22,35,8,-31,-23,3,-6,1.0,273.8,294.3
1,0,0,0,0,0,0.6,0.9,0.9,0.7,0.9,0.5,17,36,26,14,33,24,39,31,22,34,-7,-3,-5,-8,-1,0.3,284.0,317.9
1,0,0,0,0,0,0.5,0.7,0.8,0.9,0.8,0.4,19,16,39,22,27,22,39,31,24,34,-3,-23,8,-2,-7,1.0,286.8,300.5
1,0,0,0,0,0,0.6,0.7,0.5,0.3,0.5,0.4,11,35,25,2,23,25,39,31,23,35,-14,-4,-6,-21,-12,0.8,252.0,297.3
1,0,0,0,0,0,0.8,0.5,0.9,0.7,0.9,0.1,40,40,37,36,40,23,38,32,22,34,17,2,5,14,6,1.0,310.3,209.8
1,0,0,0,0,0,0.0,0.2,0.2,0.8,0.1,0.1,10,39,16,12,24,24,38,31,22,35,-14,1,-15,-10,-11,0.9,287.9,313.2
1,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.4,24,4,28,31,32,24,38,32,23,35,0,-34,-4,8,-3,0.9,312.2,296.7
1,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.4,16,40,17,19,23,26,39,32,22,33,-10,1,-15,-3,-10,1.0,297.0,290.0
1,0,0,0,0,0,0.0,0.3,0.7,0.5,0.5,0.6,7,15,24,31,11,25,38,33,22,35,-18,-23,-9,9,-24,1.0,309.0,302.4
1,0,0,0,0,0,0.4,0.7,0.4,0.3,0.5,0.4,20,8,16,28,12,24,38,33,22,35,-4,-30,-17,6,-23,-0.4,247.3,312.1
1,0,0,0,0,0,0.0,0.5,0.9,0.6,0.9,0.5,24,8,24,28,32,26,38,32,22,32,-2,-30,-8,6,0,1.0,283.0,285.6
1,0,0,0,0,0,-0.2,0.8,0.9,0.8,0.7,0.6,20,8,16,28,12,27,39,31,22,34,-7,-31,-15,6,-22,0.5,261.8,306.8
1,0,0,0,0,0,-0.3,0.8,0.5,0.6,0.6,0.1,20,16,2,32,12,24,40,34,22,34,-4,-24,-32,10,-22,-0.7,239.9,283.6
1,0,0,0,0,0,0.5,0.7,0.8,0.9,0.8,0.4,20,8,12,28,12,27,38,32,24,34,-7,-30,-20,4,-22,-0.3,268.9,288.1
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,18,14,14,24,9,26,39,32,23,35,-8,-25,-18,1,-26,0.2,268.9,325.2
1,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.4,18,12,1,21,12,25,39,32,22,35,-7,-27,-31,-1,-23,1.0,268.3,282.7
1,0,0,0,0,0,0.5,0.4,0.8,0.8,0.7,0.7,37,40,37,36,40,23,39,32,23,35,14,1,5,13,5,1.0,254.6,244.1
1,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.4,20,16,16,20,23,26,38,31,23,32,-6,-22,-15,-3,-9,0.8,236.2,242.0
1,0,0,0,0,0,0.7,0.9,1.0,0.7,0.8,0.5,4,15,12,20,9,23,38,32,22,32,-19,-23,-20,-2,-23,0.1,252.8,299.5
1,0,0,0,0,0,0.4,0.7,0.6,0.4,0.5,0.7,23,40,18,14,32,25,39,32,22,33,-2,1,-14,-8,-1,1.0,249.0,266.3
1,0,0,0,0,0,0.6,0.8,0.5,0.4,0.4,0.3,9,38,17,7,22,23,39,31,23,33,-14,-1,-14,-16,-11,0.9,213.6,185.0
1,0,0,0,0,0,0.5,0.8,0.5,0.2,0.6,0.3,21,40,18,14,33,26,38,32,23,33,-5,2,-14,-9,0,1.0,256.5,255.7
1,0,0,0,0,0,0.6,0.8,0.8,0.5,0.7,0.7,4,0,4,8,0,24,38,31,23,35,-20,-38,-27,-15,-35,-0.7,261.8,299.9
1,0,0,0,0,0,0.3,0.7,0.4,0.3,0.4,0.5,8,8,36,36,12,25,39,32,23,34,-17,-31,4,13,-22,0.9,182.4,228.1
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,20,15,16,20,24,24,39,32,22,35,-4,-24,-16,-2,-11,0.9,211.3,280.0
1,0,0,0,0,0,-0.4,0.6,0.8,0.7,0.6,0.2,22,34,11,12,27,23,38,33,22,34,-1,-4,-22,-10,-7,1.0,240.9,250.0
1,0,0,0,0,0,0.0,0.3,0.7,0.5,0.5,0.6,9,20,16,16,20,23,40,33,22,33,-14,-20,-17,-6,-13,0.2,266.2,267.3
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,20,12,16,12,12,27,38,31,22,35,-7,-26,-15,-10,-23,0.2,264.0,323.7
1,0,0,0,0,0,0.8,0.9,1.0,0.8,0.9,0.4,14,16,14,24,9,24,38,31,23,35,-10,-22,-17,1,-26,-0.5,253.0,295.8
1,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.4,4,8,4,8,4,22,39,30,22,33,-18,-31,-26,-14,-29,-0.8,268.3,290.3
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,3,29,13,9,4,26,38,32,22,35,-23,-9,-19,-13,-31,0.9,273.4,293.6
1,0,0,0,0,0,0.8,0.9,1.0,0.8,0.9,0.4,30,8,3,24,22,25,39,33,22,33,5,-31,-30,2,-11,1.0,245.1,289.4
1,0,0,0,0,0,-0.2,0.4,0.9,0.8,0.8,0.1,8,19,3,21,6,25,39,34,23,34,-17,-20,-31,-2,-28,0.9,253.8,258.1
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,36,16,12,32,32,26,39,32,24,35,10,-23,-20,8,-3,1.0,268.5,303.6
1,0,0,0,0,0,0.8,0.7,0.6,0.5,0.7,0.8,21,16,33,26,21,25,39,32,23,36,-4,-23,1,3,-15,0.9,297.5,302.6
1,0,0,0,0,0,0.8,0.9,1.0,0.8,0.9,0.4,0,21,25,17,12,25,38,31,22,35,-25,-17,-6,-5,-23,0.2,245.0,290.2
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,4,0,4,8,0,23,39,31,22,34,-19,-39,-27,-14,-34,-0.8,257.6,302.5
1,0,0,0,0,0,0.6,0.9,0.9,0.7,0.9,0.5,2,0,4,8,0,25,40,32,23,35,-23,-40,-28,-15,-35,-0.7,260.8,300.4
1,0,0,0,0,0,0.8,0.7,0.9,0.8,0.9,0.1,3,23,34,10,16,24,39,34,23,35,-21,-16,0,-13,-19,0.9,282.6,310.4
1,0,0,0,0,0,0.4,0.7,0.4,0.3,0.5,0.4,12,19,35,19,21,26,38,31,22,35,-14,-19,4,-3,-14,1.0,282.3,304.4
1,0,0,0,0,0,-0.2,0.8,0.9,0.8,0.7,0.6,2,14,25,31,11,25,38,31,23,34,-23,-24,-6,8,-23,1.0,278.0,301.5
1,0,0,0,0,0,0.5,0.8,0.5,0.2,0.6,0.3,1,15,8,7,5,25,39,31,22,35,-24,-24,-23,-15,-30,0.5,253.3,277.2
1,0,0,0,0,0,0.3,0.8,0.9,0.9,0.6,0.8,34,40,18,29,32,25,38,33,24,35,9,2,-15,5,-3,0.9,252.6,313.5
1,0,0,0,0,0,0.3,0.7,0.8,0.7,0.5,0.6,11,35,22,1,25,24,39,30,23,35,-13,-4,-8,-22,-10,1.0,260.0,276.4
1,0,0,0,0,0,0.2,0.5,0.5,0.4,0.5,0.1,4,21,9,9,11,24,39,32,21,33,-20,-18,-23,-12,-22,0.9,292.8,198.7
1,0,0,0,0,0,0.5,0.4,0.7,0.6,0.6,0.7,40,40,36,36,40,23,39,33,23,35,17,1,3,13,5,1.0,256.6,231.1
1,0,0,0,0,0,-0.2,0.4,0.9,0.8,0.8,0.1,0,15,0,7,4,24,39,31,24,35,-24,-24,-31,-17,-31,0.9,261.4,277.3
1,0,0,0,0,0,-0.2,0.7,0.7,0.4,0.6,0.3,36,22,2,20,36,25,38,34,24,33,11,-16,-32,-4,3,1.0,255.4,309.4
1,0,0,0,0,0,0.3,0.5,0.3,0.6,0.2,0.3,19,16,40,23,27,24,39,32,23,35,-5,-23,8,0,-8,1.0,256.4,274.4
1,0,0,0,0,0,0.4,0.7,0.8,0.7,0.5,0.3,20,13,16,20,11,25,39,32,22,34,-5,-26,-16,-2,-23,-0.6,276.5,311.2
